#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
  92.0000000    7.3565099816e+01    6.4000000200e+01   -1.3872198536e-22    5.4434900252e+01    6.4000000145e+01    7.8806118959e-23
  92.5000000    7.3564602545e+01    6.4000000428e+01   -1.3872198536e-22    5.4435397649e+01    6.4000000310e+01    7.8806118959e-23
  93.0000000    7.3564077997e+01    6.3999999871e+01   -1.3872198536e-22    5.4435922096e+01    6.3999999974e+01    7.8806118959e-23
  93.5000000    7.3563527507e+01    6.3999999473e+01   -1.3872198536e-22    5.4436472256e+01    6.3999999716e+01    7.8806118959e-23
  94.0000000    7.3562960515e+01    6.3999999949e+01   -1.3872198536e-22    5.4437039183e+01    6.3999999917e+01    7.8806118959e-23
  94.5000000    7.3562394266e+01    6.4000000566e+01   -1.3872198536e-22    5.4437605843e+01    6.4000000267e+01    7.8806118959e-23
  95.0000000    7.3561845088e+01    6.4000000427e+01   -1.3872198536e-22    5.4438155295e+01    6.4000000304e+01    7.8806118959e-23
  95.5000000    7.3561316598e+01    6.3999999787e+01   -1.3872198536e-22    5.4438683449e+01    6.4000000018e+01    7.8806118959e-23
  96.0000000    7.3560799811e+01    6.3999999560e+01   -1.3872198536e-22    5.4439199804e+01    6.3999999800e+01    7.8806118959e-23
  96.5000000    7.3560286518e+01    6.4000000012e+01   -1.3872198536e-22    5.4439713244e+01    6.3999999873e+01    7.8806118959e-23
  97.0000000    7.3559779543e+01    6.4000000337e+01   -1.3872885161e-22    5.4440220669e+01    6.4000000023e+01    7.8802887785e-23
  97.5000000    7.3559287991e+01    6.3999999977e+01   -1.3872885161e-22    5.4440712247e+01    6.4000000014e+01    7.8802887785e-23
  98.0000000    7.3558816086e+01    6.3999999637e+01   -1.3872885161e-22    5.4441183784e+01    6.3999999926e+01    7.8802887785e-23
  98.5000000    7.3558360246e+01    6.3999999912e+01   -1.3872885161e-22    5.4441639481e+01    6.3999999917e+01    7.8802887785e-23
  99.0000000    7.3557913342e+01    6.4000000193e+01   -1.3872885161e-22    5.4442086621e+01    6.3999999990e+01    7.8802887785e-23
  99.5000000    7.3557466225e+01    6.4000000118e+01   -1.3872885161e-22    5.4442533934e+01    6.4000000132e+01    7.8802887785e-23
 100.0000000    7.3557007925e+01    6.4000000236e+01   -1.3872885161e-22    5.4442992145e+01    6.4000000336e+01    7.8802887785e-23
 100.5000000    7.3556531999e+01    6.4000000512e+01   -1.3871915808e-22    5.4443467886e+01    6.4000000411e+01    7.8802887785e-23
